Model,Organization,Publication date,Domain,Confidence,Link,Reference,Authors,Organization categorization,Country (of organization),Notability criteria
AdaBoost.M2 Digit Recognition,AT&T,1996-07-03,Vision,confident,https://cseweb.ucsd.edu/~yfreund/papers/boostingexperiments.pdf,Experiments with a New Boosting Algorithm,"Yoav Freund, Robert E. Schapire",Industry,United States of America,Highly cited
System 11,Carnegie Mellon University (CMU),1996-06-18,Vision,confident,https://ieeexplore.ieee.org/document/655647,Neural Network-Based Face Detection,"HA Rowley, S Baluja, T Kanade",Academia,United States of America,Highly cited
MUSIC perceptron,Google,1996-06-03,Vision,confident,https://ieeexplore.ieee.org/document/549237,A neural network for grey level and color correction used in photofinishing,M. Kocheisen; U.A. Muller; G. Troster,Industry,United States of America,Historical significance
LISSOM,University of Texas at Austin,1995-11-27,Vision,likely,https://www.semanticscholar.org/paper/Laterally-Interconnected-Self-Organizing-Maps-in-Choe-Sirosh/785f5facc76538ceba6f6b9e2d7b641d322e9854,Laterally Interconnected Self-Organizing Maps in Hand-Written Digit Recognition,"Yoonsuck Choe, Joseph Sirosh, R. Miikkulainen",Academia,United States of America,"SOTA improvement,Historical significance"
Support Vector Machines,"AT&T,Bell Laboratories",1995-09-01,Vision,confident,https://link.springer.com/article/10.1007/BF00994018,Support-Vector Networks,"C Cortes, V Vapnik","Industry,Industry","United States of America,United States of America",Highly cited
Random Decision Forests,"AT&T,Bell Laboratories",1995-08-14,Other,confident,https://ieeexplore.ieee.org/document/598994,Random decision forests,TK Ho,"Industry,Industry","United States of America,United States of America",Highly cited
Iterative Bootstrapping WSD,University of Pennsylvania,1995-06-26,Language,confident,https://dl.acm.org/doi/10.3115/981658.981684,Unsupervised Word Sense Disambiguation Rivaling Supervised Methods,D Yarowsky,Academia,United States of America,Highly cited
Predictive Coding NN,Technical University of Munich,1994-12-02,Language,confident,https://proceedings.neurips.cc/paper/1994/file/5705e1164a8394aace6018e27d20d237-Paper.pdf,Predictive Coding with Neural Nets: Application to Text Compression,"J. Schmidhuber, Stefan Heil",Academia,Germany,Historical significance
NeuroChess,Google,1994-12-02,Games,speculative,https://www.semanticscholar.org/paper/Learning-to-Play-the-Game-of-Chess-Thrun/4bc7a6dcb9e0e6c7a26800532e2a00f5572eea47,Learning to Play the Game of Chess,S. Thrun,Industry,United States of America,"Historical significance,Highly cited"
Mixture of linear models,Google,1994-12-02,Vision,likely,https://www.semanticscholar.org/paper/Recognizing-Handwritten-Digits-Using-Mixtures-of-Hinton-Revow/9dea20c1e5bbb1f543ff08113ffde5380c679f1f,Recognizing Handwritten Digits Using Mixtures of Linear Models,"Geoffrey E. Hinton, M. Revow, P. Dayan",Industry,United States of America,Historical significance
JPMAX,Google,1994-12-02,Vision,speculative,https://proceedings.neurips.cc/paper_files/paper/1994/hash/4b0250793549726d5c1ea3906726ebfe-Abstract.html,JPMAX: Learning to Recognize Moving Objects as a Model-fitting Problem,Suzanna Becker,Industry,United States of America,Historical significance
GroupLens,Massachusetts Institute of Technology (MIT),1994-10-22,Recommendation,confident,https://dl.acm.org/doi/10.1145/192844.192905,GroupLens: an Open Architecture for Collaborative Filtering of Netnews,"Paul Resnick, Neophytos Iacovou, Mitesh Suchak, Peter Bergstrom, John Riedl",Academia,United States of America,Highly cited
Ceramic-MLP,Sapienza Università di Roma,1994-01-07,Materials science,likely,https://www.sciencedirect.com/science/article/abs/pii/S0921883108605506,Ceramic powder characterization by multilayer perceptron (MLP) data compression and classification,"G. Bonifazi, P. Burrascano",Academia,Italy,Historical significance
ANN Eye Tracker,Google,1993-11-29,Vision,confident,https://www.semanticscholar.org/paper/Non-Intrusive-Gaze-Tracking-Using-Artificial-Neural-Baluja-Pomerleau/574c0cf98825bf09b0ab7bbfe9ba89cd6090745e,Non-Intrusive Gaze Tracking Using Artificial Neural Networks,"S. Baluja, D. Pomerleau",Industry,United States of America,Historical significance
Siamese-TDNN,Bell Laboratories,1993-08-01,Vision,likely,https://www.semanticscholar.org/paper/Signature-Verification-Using-A-%22Siamese%22-Time-Delay-Bromley-Bentz/997dc5d9a058753f034422afe7bd0cc0b8ad808b,"Signature Verification using a ""Siamese"" Time Delay Neural Network","J. Bromley, James W. Bentz, L. Bottou, Isabelle M Guyon, Yann LeCun, C. Moore, Eduard Säckinger, Roopak Shah",Industry,United States of America,"Historical significance,Highly cited"
IBM-5,IBM,1993-06-15,Language,confident,https://dl.acm.org/doi/10.5555/972470.972474,The Mathematics of Statistical Machine Translation: Parameter Estimation,"Peter F. Brown, Stephen A. Della Pietra, Vincent J. Della Pietra, Robert L. Mercer",Industry,United States of America,Highly cited
Boosting,Bell Laboratories,1992-11-30,Vision,likely,https://www.semanticscholar.org/paper/Improving-Performance-in-Neural-Networks-Using-a-Drucker-Schapire/77b5185dafb9e5b884a677a32713e54c253a4e0b,Improving Performance in Neural Networks Using a Boosting Algorithm,"H. Drucker, R. Schapire, Patrice Y. Simard",Industry,United States of America,Historical significance
Cancer drug mechanism prediction,National Cancer Institute,1992-10-16,Medicine,likely,https://pubmed.ncbi.nlm.nih.gov/1411538/,Neural computing in cancer drug development: predicting mechanism of action,"John N. Weinstein, Kurt W. Kohn, Michael R. Grever, Vellarkad N.
Viswanadhan, Lawrence V. Rubinstein, Anne P. Monks, Dominic A. Scudiero, Lester Welch, Antonis D. Koutsoukos, August J. Chiausa, Kenneth D. Paull",Government,United States of America,Historical significance
Golem,Alan Turing Institute,1992-10-01,Biology,confident,https://www.semanticscholar.org/paper/Protein-secondary-structure-prediction-using-Muggleton-King/9f744e48091a24b569435d070920e60db45f4fdc,Protein secondary structure prediction using logic-based machine learning.,"S. Muggleton, Ross D. King, M. J. Sternberg",Government,United Kingdom of Great Britain and Northern Ireland,"Historical significance,SOTA improvement"
Fuzzy NN,Indian Statistical Institute,1992-09-01,Speech,confident,https://ieeexplore.ieee.org/document/159058,"Multilayer perceptron, fuzzy sets, and classification","SK Pal, S Mitra",Academia,India,Highly cited
TD-Gammon,IBM,1992-05-01,Games,confident,https://papers.nips.cc/paper/1991/file/68ce199ec2c5517597ce0a4d89620f55-Paper.pdf,Practical Issues in Temporal Difference Learning,G Tesauro,Industry,United States of America,Highly cited
Weight Decay,Google,1991-12-02,Speech,confident,https://www.semanticscholar.org/paper/A-Simple-Weight-Decay-Can-Improve-Generalization-Krogh-Hertz/48e1de7d085808004d5f0493d486669a3d2930b5,A Simple Weight Decay Can Improve Generalization,"A. Krogh, J. Hertz",Industry,United States of America,"Highly cited,Historical significance"
SRN-Encoded Grammatical Structures,University of California San Diego,1991-09-01,Language,confident,https://dl.acm.org/doi/10.1007/BF00114844,"Distributed representations, simple recurrent networks, and grammatical structure",J. L. Elman,Academia,United States of America,Highly cited
RAAM,Google,1990-11-01,Other,confident,https://www.sciencedirect.com/science/article/abs/pii/000437029090005K?via%3Dihub,Recursive Distributed Representations,Jordan B. Pollack,Industry,United States of America,Highly cited
SexNet compression,Google,1990-10-01,Vision,confident,https://www.semanticscholar.org/paper/SEXNET%3A-A-Neural-Network-Identifies-Sex-From-Human-Golomb-Lawrence/cbf90aa78fea0c8a1028705d92bc4bc7808ddeeb,SEXNET: A Neural Network Identifies Sex From Human Faces,"B. Golomb, D. T. Lawrence, T. Sejnowski",Industry,United States of America,Historical significance
SexNet classification,Google,1990-10-01,Vision,likely,https://www.semanticscholar.org/paper/SEXNET%3A-A-Neural-Network-Identifies-Sex-From-Human-Golomb-Lawrence/cbf90aa78fea0c8a1028705d92bc4bc7808ddeeb,SEXNET: A Neural Network Identifies Sex From Human Faces,"B. Golomb, D. T. Lawrence, T. Sejnowski",Industry,United States of America,"Historical significance,Highly cited"
ISR network,Stanford University,1990-10-01,Vision,confident,https://papers.nips.cc/paper_files/paper/1990/hash/e46de7e1bcaaced9a54f1e9d0d2f800d-Abstract.html,Integrated Segmentation and Recognition of Hand-Printed Numerals,"James Keeler, David Rumelhart, Wee Leow",Academia,United States of America,Historical significance
Bankruptcy-NN,Google,1990-06-17,Other,confident,https://www.semanticscholar.org/paper/A-neural-network-model-for-bankruptcy-prediction-Odom-Sharda/ead9fa02902850a7418fb5ba720f3d9d8ab2f88b,A neural network model for bankruptcy prediction,"M. Odom, R. Sharda",Industry,United States of America,"Historical significance,Highly cited"
Innervator,"Stanford University,California Institute of Technology",1989-12-01,Mathematics,confident,https://www.researchgate.net/publication/220885651_Designing_Neural_Networks_using_Genetic_Algorithms,Designing neural networks using genetic algorithms,"Geoffrey Miller, Peter Todd, and Shailesh Hegde","Academia,Academia","United States of America,United States of America",Highly cited
ALVINN,Carnegie Mellon University (CMU),1989-12-01,Driving,confident,https://proceedings.neurips.cc/paper/1988/hash/812b4ba287f5ee0bc9d43bbf5bbe87fb-Abstract.html,ALVINN: an autonomous land vehicle in a neural network,DA Pomerleau,Academia,United States of America,Highly cited
Speaker-independent vowel classification,University of Washington,1989-11-27,Speech,confident,https://www.semanticscholar.org/paper/Performance-Comparisons-Between-Backpropagation-and-Atlas-Cole/e42d2b89fcb4a1a3dfa63408f424f76975ed1e1b,Performance Comparisons Between Backpropagation Networks and Classification Trees on Three Real-World Applications,"L. Atlas, R. Cole, J. Connor, M. El-Sharkawi, R. Marks, Y. Muthusamy, E. Barnard",Academia,United States of America,Historical significance
Handwritten Digit Recognition System,AT&T,1989-11-27,Vision,confident,https://www.semanticscholar.org/paper/Handwritten-Digit-Recognition-with-a-Network-LeCun-Boser/86ab4cae682fbd49c5a5bedb630e5a40fa7529f6,Handwritten Digit Recognition with a Back-Propagation Network,"Yann LeCun, B. Boser, J. Denker, D. Henderson, R. Howard, W. Hubbard, L. Jackel",Industry,United States of America,Historical significance
Truck backer-upper,Stanford University,1989-06-18,Driving,confident,https://ieeexplore.ieee.org/document/118723,"The truck backer-upper: an example of self-learning in neural networks
","Derrick Nguyen, Bernard Widrow",Academia,United States of America,Historical significance
Invariant image recognition,Complutense University of Madrid,1989-06-18,Vision,confident,https://ieeexplore.ieee.org/document/118669,Invariant image recognition using a multi-network neural model,"V. Cruz, G. Cristóbal, T. Michaux, S. Barquin",Academia,Spain,Historical significance
Time-delay neural networks,"Advanced Telecommunications Research Institute,Carnegie Mellon University (CMU)",1989-03-03,Speech,confident,https://ieeexplore.ieee.org/abstract/document/21701,Phoneme recognition using time-delay neural networks,"A. Waibel, T. Hanazawa, G. Hinton, K. Shikano, and K. J. Lang","Industry,Academia","Japan,United States of America",Highly cited
Q-learning,University of London,1989-01-01,"Robotics,Games",confident,http://www.cs.rhul.ac.uk/~chrisw/thesis.html,Learning from delayed rewards,Christopher Watkins,Academia,United Kingdom of Great Britain and Northern Ireland,Highly cited
MLP baggage detector,Science Applications International Corporation / SAIC,1989-01-01,Vision,confident,https://www.semanticscholar.org/paper/Detection-of-explosives-in-checked-airline-baggage-Shea-Lin/71da4057401f459bc079696a029aee45a0a89728,Detection of explosives in checked airline baggage using an artificial neural system,"Patrick M Shea, Vincent Lin",Industry,United States of America,Historical significance
MLN-ASR,McGill University,1988-08-01,Speech,confident,https://aaai.org/papers/00734-aaai88-130-data-driven-execution-of-multi-layered-networks-for-automatic-speech-recognition/,Data-Driven Execution of Multi-Layered Networks for Automatic Speech Recognition,"Renato De Mori, Yoshua Bengio, Régis Cardin",Academia,Canada,Historical significance
Motion-Driven 3D Feature Tracking,Roke Manor Research,1988-07-01,3D modeling,confident,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.434.4816&rep=rep1&type=pdf,A Combined Corner and Edge Detector,Harris & Stephens,Industry,United Kingdom of Great Britain and Northern Ireland,Highly cited
NetTalk (transcription),Princeton University,1987-06-06,Speech,confident,http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=03A3D3EDF0BAF35405ABCF083411B55E?doi=10.1.1.154.7012&rep=rep1&type=pdf,Parallel Networks that Learn to Pronounce English Text,"TJ Sejnowski, CR Rosenberg",Academia,United States of America,Highly cited
NetTalk (dictionary),Princeton University,1987-06-06,Speech,confident,http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=03A3D3EDF0BAF35405ABCF083411B55E?doi=10.1.1.154.7012&rep=rep1&type=pdf,Parallel Networks that Learn to Pronounce English Text,"TJ Sejnowski, CR Rosenberg",Academia,United States of America,Highly cited
Optimized Multi-Scale Edge Detection,Massachusetts Institute of Technology (MIT),1986-11-01,Vision,confident,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4767851,A Computational Approach To Edge Detection,John Canny,Academia,United States of America,Highly cited
Back-propagation,"University of California San Diego,Carnegie Mellon University (CMU)",1986-10-01,Mathematics,confident,https://www.semanticscholar.org/paper/Learning-representations-by-back-propagating-errors-Rumelhart-Hinton/052b1d8ce63b07fec3de9dbb583772d860b7c769,Learning representations by back-propagating errors,"Rumelhart, David E.; Hinton, Geoffrey E.; Williams, Ronald J.","Academia,Academia","United States of America,United States of America",Highly cited
Distributed representation NN,Carnegie Mellon University (CMU),1986-08-15,Other,confident,https://www.cs.toronto.edu/~hinton/absps/families.pdf,Learning distributed representations of concepts.,Geoffrey E. Hinton,Academia,United States of America,"Historical significance,Highly cited"
PDP model for serial order,University of California San Diego,1986-01-05,Speech,confident,https://www.osti.gov/biblio/6910294,Serial order: A parallel distributed processing approach,"Jordan, M.I.",Academia,United States of America,Highly cited
Error Propagation,"University of California San Diego,Carnegie Mellon University (CMU)",1986-01-03,Other,confident,https://stanford.edu/~jlmcc/papers/PDP/Volume%201/Chap8_PDP86.pdf,Learning internal representations by error propagation,"D. E. Rumelhart, G. E. Hinton, and R. J. Williams","Academia,Academia","United States of America,United States of America",Highly cited
